StoreNum,Last,First,HireDate,FireDate,Position,FullTime,EmpId,City,State,Zip,Street,ReceiptNumber,SaleDate,Weekend,isCash,Receipt,Quantity,Item,Id,Flavor,Food,Price,Type
11,STILNER,TOVA,2000-01-19,2000-01-27,Manager,True,11,Sacramento,CA,94211,1420 15th st,496,2000-01-24,False,True,496,4,31,31,Apple,Croissant,1.45,Food
14,CRATCH,RODNEY,2000-01-03,2000-01-17,Manager,True,14,Seattle,WA,98111,550 Thomas St,243,2000-01-22,True,False,243,2,31,31,Apple,Croissant,1.45,Food
14,SEINER,CLEMENTE,2000-01-26,2000-01-29,Barista,False,41,Seattle,WA,98111,550 Thomas St,243,2000-01-22,True,False,243,2,31,31,Apple,Croissant,1.45,Food
14,ROLLINGER,SANTOS,2000-01-13,2000-01-25,Shift Manager,True,42,Seattle,WA,98111,550 Thomas St,243,2000-01-22,True,False,243,2,31,31,Apple,Croissant,1.45,Food
14,JI,STARLA,2000-01-07,2000-01-12,Shift Manager,True,43,Seattle,WA,98111,550 Thomas St,243,2000-01-22,True,False,243,2,31,31,Apple,Croissant,1.45,Food
14,KOVALCHIK,DARRICK,2000-01-08,2000-01-21,Barista,True,44,Seattle,WA,98111,550 Thomas St,243,2000-01-22,True,False,243,2,31,31,Apple,Croissant,1.45,Food
6,RININGER,LESTER,2000-01-26,2000-01-30,Manager,True,6,San Diego,CA,92110,1507 Front St,85,2000-01-26,False,False,85,4,31,31,Apple,Croissant,1.45,Food
15,PROO,SONIA,2000-01-03,2000-01-18,Manager,True,15,Olympia,WA,98512,312 State Ave,857,2000-01-04,False,False,857,3,31,31,Apple,Croissant,1.45,Food
8,MARSCHALL,WYATT,2000-01-04,2000-01-30,Manager,True,8,Santa Barbara,CA,93108,1337 Anacapa St,108,2000-01-28,True,False,108,2,31,31,Apple,Croissant,1.45,Food
18,LAZZARA,ROSALBA,2000-01-28,2000-01-30,Manager,True,18,Phoenix,AZ,85016,2400 Camelback Rd,101,2000-01-15,True,False,101,5,31,31,Apple,Croissant,1.45,Food
14,CRATCH,RODNEY,2000-01-03,2000-01-17,Manager,True,14,Seattle,WA,98111,550 Thomas St,988,2000-01-19,False,True,988,4,31,31,Apple,Croissant,1.45,Food
14,SEINER,CLEMENTE,2000-01-26,2000-01-29,Barista,False,41,Seattle,WA,98111,550 Thomas St,988,2000-01-19,False,True,988,4,31,31,Apple,Croissant,1.45,Food
14,ROLLINGER,SANTOS,2000-01-13,2000-01-25,Shift Manager,True,42,Seattle,WA,98111,550 Thomas St,988,2000-01-19,False,True,988,4,31,31,Apple,Croissant,1.45,Food
14,JI,STARLA,2000-01-07,2000-01-12,Shift Manager,True,43,Seattle,WA,98111,550 Thomas St,988,2000-01-19,False,True,988,4,31,31,Apple,Croissant,1.45,Food
14,KOVALCHIK,DARRICK,2000-01-08,2000-01-21,Barista,True,44,Seattle,WA,98111,550 Thomas St,988,2000-01-19,False,True,988,4,31,31,Apple,Croissant,1.45,Food
20,DEBRECHT,JERALD,2000-01-04,2000-01-19,Manager,True,20,Tucson,AZ,85701,1900 Speedway Blvd,333,2000-01-04,False,False,333,3,31,31,Apple,Croissant,1.45,Food
20,BARRIE,RENE,2000-01-20,2000-01-28,Manager,True,21,Tucson,AZ,85701,1900 Speedway Blvd,333,2000-01-04,False,False,333,3,31,31,Apple,Croissant,1.45,Food
20,BRANDSTETTER,MOISES,2000-01-04,2000-01-10,Shift Manager,True,50,Tucson,AZ,85701,1900 Speedway Blvd,333,2000-01-04,False,False,333,3,31,31,Apple,Croissant,1.45,Food
2,ROHLA,JESSE,2000-03-27,2000-08-30,Manager,True,2,San Luis Obispo,CA,93405,1430 Chorro St,539,2000-01-06,False,False,539,4,31,31,Apple,Croissant,1.45,Food
2,PESCH,MARGARETT,2000-01-26,2000-01-30,Cashier,True,22,San Luis Obispo,CA,93405,1430 Chorro St,539,2000-01-06,False,False,539,4,31,31,Apple,Croissant,1.45,Food
2,HAUSLADEN,LUISE,2000-01-22,2000-01-29,Shift Manager,True,23,San Luis Obispo,CA,93405,1430 Chorro St,539,2000-01-06,False,False,539,4,31,31,Apple,Croissant,1.45,Food
2,IWANEJKO,BEA,2000-01-21,2000-01-24,Manager,True,24,San Luis Obispo,CA,93405,1430 Chorro St,539,2000-01-06,False,False,539,4,31,31,Apple,Croissant,1.45,Food
12,SPURZEM,BRITTNEY,2000-01-25,2000-01-26,Manager,True,12,Stockton,CA,95208,300 Oak St,111,2000-01-06,False,False,111,4,31,31,Apple,Croissant,1.45,Food
20,DEBRECHT,JERALD,2000-01-04,2000-01-19,Manager,True,20,Tucson,AZ,85701,1900 Speedway Blvd,132,2000-01-17,False,False,132,1,31,31,Apple,Croissant,1.45,Food
20,BARRIE,RENE,2000-01-20,2000-01-28,Manager,True,21,Tucson,AZ,85701,1900 Speedway Blvd,132,2000-01-17,False,False,132,1,31,31,Apple,Croissant,1.45,Food
20,BRANDSTETTER,MOISES,2000-01-04,2000-01-10,Shift Manager,True,50,Tucson,AZ,85701,1900 Speedway Blvd,132,2000-01-17,False,False,132,1,31,31,Apple,Croissant,1.45,Food
1,COCOROS,ADAN,2000-08-19,2000-01-25,Manager,True,1,San Francisco,CA,94171,150 Hayes St,305,2000-05-07,False,False,305,4,31,31,Apple,Croissant,1.45,Food
18,LAZZARA,ROSALBA,2000-01-28,2000-01-30,Manager,True,18,Phoenix,AZ,85016,2400 Camelback Rd,353,2000-01-12,False,False,353,5,31,31,Apple,Croissant,1.45,Food
19,NOLLETTE,ANGELO,2000-01-22,2000-01-28,Manager,True,19,Flagstaff,AZ,86001,700 University Ave,581,2000-01-26,False,False,581,1,31,31,Apple,Croissant,1.45,Food
19,CZWAKIEL,TALITHA,2000-01-25,2000-01-28,Manager,True,48,Flagstaff,AZ,86001,700 University Ave,581,2000-01-26,False,False,581,1,31,31,Apple,Croissant,1.45,Food
19,SAVE,AUDRY,2000-01-21,2000-01-29,Manager,True,49,Flagstaff,AZ,86001,700 University Ave,581,2000-01-26,False,False,581,1,31,31,Apple,Croissant,1.45,Food
8,MARSCHALL,WYATT,2000-01-04,2000-01-30,Manager,True,8,Santa Barbara,CA,93108,1337 Anacapa St,768,2000-01-17,False,False,768,2,31,31,Apple,Croissant,1.45,Food
20,DEBRECHT,JERALD,2000-01-04,2000-01-19,Manager,True,20,Tucson,AZ,85701,1900 Speedway Blvd,925,2000-01-14,True,False,925,1,31,31,Apple,Croissant,1.45,Food
20,BARRIE,RENE,2000-01-20,2000-01-28,Manager,True,21,Tucson,AZ,85701,1900 Speedway Blvd,925,2000-01-14,True,False,925,1,31,31,Apple,Croissant,1.45,Food
20,BRANDSTETTER,MOISES,2000-01-04,2000-01-10,Shift Manager,True,50,Tucson,AZ,85701,1900 Speedway Blvd,925,2000-01-14,True,False,925,1,31,31,Apple,Croissant,1.45,Food
16,WORDLOW,WILL,2000-01-09,2000-01-14,Manager,True,16,Reno,NV,89507,446 Center St,169,2000-01-17,False,True,169,3,31,31,Apple,Croissant,1.45,Food
3,HUCKABEE,COLLEEN,2000-01-18,2000-01-28,Manager,True,3,Los Angeles,CA,90081,400 Lincoln Ave,966,2000-01-20,False,False,966,4,31,31,Apple,Croissant,1.45,Food
3,TYSARCZYK,BENNY,2000-01-19,2000-01-20,Cashier,False,25,Los Angeles,CA,90081,400 Lincoln Ave,966,2000-01-20,False,False,966,4,31,31,Apple,Croissant,1.45,Food
3,MCCOMISH,CLARINE,2000-01-16,2000-01-18,Barista,False,26,Los Angeles,CA,90081,400 Lincoln Ave,966,2000-01-20,False,False,966,4,31,31,Apple,Croissant,1.45,Food
3,LUOTO,JENA,2000-01-27,2000-01-30,Barista,False,27,Los Angeles,CA,90081,400 Lincoln Ave,966,2000-01-20,False,False,966,4,31,31,Apple,Croissant,1.45,Food
17,HEISE,CHARMAINE,2000-01-23,2000-01-28,Manager,True,17,Las Vegas,NV,89101,4122 Rainbow Blvd,306,2000-01-13,False,True,306,5,31,31,Apple,Croissant,1.45,Food
17,SMOTHERMAN,KARRI,2000-01-05,2000-01-28,Cashier,True,45,Las Vegas,NV,89101,4122 Rainbow Blvd,306,2000-01-13,False,True,306,5,31,31,Apple,Croissant,1.45,Food
17,BOWERMAN,STEPHENIE,2000-01-03,2000-01-22,Manager,True,46,Las Vegas,NV,89101,4122 Rainbow Blvd,306,2000-01-13,False,True,306,5,31,31,Apple,Croissant,1.45,Food
17,SPECKEN,MARC,2000-01-12,2000-01-13,Shift Manager,True,47,Las Vegas,NV,89101,4122 Rainbow Blvd,306,2000-01-13,False,True,306,5,31,31,Apple,Croissant,1.45,Food
